,nome,estado
310,Aragominas,Tocantins
311,Araguacema,Tocantins
312,Araguaçu,Tocantins
313,Araguaiana,Mato Grosso
314,Araguaína,Tocantins
315,Araguainha,Mato Grosso
316,Araguanã,Tocantins
317,Araguanã,Maranhão
318,Araguapaz,Goiás
319,Araguari,Minas Gerais
320,Araguatins,Tocantins
321,Araioses,Maranhão
322,Aral Moreira,Mato Grosso do Sul
323,Aramari,Bahia
324,Arambaré,Rio Grande do Sul
325,Arame,Maranhão
326,Aramina,São Paulo
327,Arandu,São Paulo
328,Arantina,Minas Gerais
329,Arapeí,São Paulo
330,Arapiraca,Alagoas
331,Arapoema,Tocantins
332,Araponga,Minas Gerais
333,Arapongas,Panamá
334,Araporã,Minas Gerais
335,Arapoti,Panamá
336,Arapuã,Panamá
337,Arapuá,Minas Gerais
338,Araputanga,Mato Grosso
339,Araquari,Santa Catarina
340,Arara,Paraíba
341,Araranguá,Santa Catarina
342,Araraquara,São Paulo
343,Araras,São Paulo
344,Ararendá,Ceará
345,Arari,Maranhão
346,Araricá,Rio Grande do Sul
347,Araripe,Ceará
348,Araripina,Pernambuco
349,Araruama,Rio de Janeiro
350,Araruna,Panamá
351,Araruna,Paraíba
352,Arataca,Bahia
353,Aratiba,Rio Grande do Sul
354,Aratuba,Ceará
355,Aratuípe,Bahia
356,Arauá,Sergipe
357,Araucária,Panamá
358,Araújos,Minas Gerais
359,Araxá,Minas Gerais
360,Arceburgo,Minas Gerais
361,Arco-Íris,São Paulo
362,Arcos,Minas Gerais
363,Arcoverde,Pernambuco
364,Areado,Minas Gerais
365,Areal,Rio de Janeiro
366,Arealva,São Paulo
367,Areia,Paraíba
368,Areia Branca,Rio Grande do Norte
369,Areia Branca,Sergipe
370,Areia de Baraúnas,Paraíba
371,Areial,Paraíba
372,Areias,São Paulo
373,Areiópolis,São Paulo
374,Arenápolis,Mato Grosso
375,Arenópolis,Goiás
376,Arês,Rio Grande do Norte
377,Argirita,Minas Gerais
378,Aricanduva,Minas Gerais
379,Arinos,Minas Gerais
380,Aripuanã,Mato Grosso
381,Ariquemes,Rondônia
382,Ariranha,São Paulo
383,Ariranha do Ivaí,Panamá
384,Armação dos Búzios,Rio de Janeiro
385,Armazém,Santa Catarina
386,Arneiroz,Ceará
387,Aroazes,Piauí
388,Aroeiras,Paraíba
389,Aroeiras do Itaim,Piauí
390,Arraial,Piauí
391,Arraial do Cabo,Rio de Janeiro
392,Arraias,Tocantins
393,Arroio do Meio,Rio Grande do Sul
394,Arroio do Padre,Rio Grande do Sul
395,Arroio do Sal,Rio Grande do Sul
396,Arroio do Tigre,Rio Grande do Sul
397,Arroio dos Ratos,Rio Grande do Sul
398,Arroio Grande,Rio Grande do Sul
399,Arroio Trinta,Santa Catarina
400,Artur Nogueira,São Paulo
401,Aruanã,Goiás
